body,label
You won 127.47 EUR! Claim your prize at https://is.gd/xyZ1 before it expires. No purchase required.,1
Boost your site to #1 on Google. Guaranteed SEO results. Book now: tinyurl.com/aB3c,1
Security alert: unusual sign-in detected. Confirm your password at https://update-payments.io/secure-login.,1
URGENT: Your Globex account will be suspended. Verify now at https://secure-login.com/verify to avoid loss of access.,1
Hot singles in your area want to chat. Click goo.gl/win now!,1
Welcome to the project! Starter docs are in the shared drive.,0
Printer invoice attached. Open and enable macros to view. Then pay here: ow.ly/pay,1
Your support ticket CS-4292 has been updated. We’ll follow up by Wednesday.,0
Welcome to the project! Starter docs are in the shared drive.,0
"Your two-factor code is 295243. If you didn’t request this, ignore this message.",0
Your subscription to Pro Plan renewed successfully. Amount: 74.83 USD.,0
Payment failed on your package. Reschedule delivery and pay fee at https://secure-login.com/pay,1
Thanks for your help today. Let’s sync on the report tomorrow.,0
<html><body><b>Account Locked</b> — clіck here to <a href='https://secure-login.com/reopen'>reopen</a> now.</body></html>,1
"Dear Beneficiary, your inheritance is ready. Provide your full details to process funds.",1
Hot singles in your area want to chat. Click ow.ly/pay now!,1
Tax refund available—submit bank details now: bit.ly/7hQ2,1
Your email storage is full. Upgrade at ow.ly/pay to avoid losing messages.,1
Your Globex receipt for Premium Support has been processed. Amount: 386.10 GBP. Thank you for your payment.,0
Please review PR #904 when you have a moment. Notes inline.,0
Security alert: unusual sign-in detected. Confirm your password at https://secure-login.com/secure-login.,1
<html><body><b>Account Locked</b> — clіck here to <a href='https://secure-login.com/reopen'>reopen</a> now.</body></html>,1
Get rich from home! Earn 25% weekly with zero effort. Start here: goo.gl/win,1
Calendar invite accepted. See you at 14:00 in room 3B.,0
We doubled our BTC offer! Invest 96.48 USD and get 50% daily returns. Join now: goo.gl/win,1
"Hi Amara, here are the minutes from today’s call. Action items attached.",0
You won 360.81 EUR! Claim your prize at https://bit.ly/7hQ2 before it expires. No purchase required.,1
Your email storage is full. Upgrade at is.gd/xyZ1 to avoid losing messages.,1
<div>HR reminder: complete your benefits enrollment by Friday.</div>,0
Thanks! I’ll be there in 5 minutes.,0
Calendar invite accepted. See you at 14:00 in room 3B.,0
We found issues with your wallet. Restore access: https://account-check.net/restore,1
Crypto airdrop for early users! Connect your wallet: https://safety-verify.org/airdrop,1
Boost your site to #1 on Google. Guaranteed SEO results. Book now: goo.gl/win,1
Lunch tomorrow? I can do 12:30.,0
"Your Apple ID has been used from Russia. If this wasn't you, login at ow.ly/pay",1
Printer invoice attached. Open and enable macros to view. Then pay here: goo.gl/win,1
Order ORD-1104 has shipped. Tracking number: TRK388389E. Estimated delivery Monday.,0
Your support ticket CS-7567 has been updated. We’ll follow up by Thursday.,0
Security alert: unusual sign-in detected. Confirm your password at https://safety-verify.org/secure-login.,1
Reminder: team standup is at 10:00 AM Friday.,0
"Your two-factor code is 745584. If you didn’t request this, ignore this message.",0
Your Fabrikam receipt for Email Service has been processed. Amount: 260.03 EUR. Thank you for your payment.,0
Calendar invite accepted. See you at 14:00 in room 3B.,0
"Dear Beneficiary, your inheritance is ready. Provide your full details to process funds.",1
<div>HR reminder: complete your benefits enrollment by Friday.</div>,0
Your subscription to Cloud Storage renewed successfully. Amount: 308.13 GBP.,0
Thanks! I’ll be there in 5 minutes.,0
Payment failed on your package. Reschedule delivery and pay fee at https://safety-verify.org/pay,1
URGENT: Your Stark Logistics account will be suspended. Verify now at https://update-payments.io/verify to avoid loss of access.,1
We doubled our BTC offer! Invest 366.10 BRL and get 25% daily returns. Join now: ow.ly/pay,1
We doubled our BTC offer! Invest 292.78 USD and get 70% daily returns. Join now: tinyurl.com/aB3c,1
Limited-time deal: FREE iPhone for survey participants. Redeem here is.gd/xyZ1,1
We found issues with your wallet. Restore access: https://secure-login.com/restore,1
Printer invoice attached. Open and enable macros to view. Then pay here: t.co/claim,1
"CONFIDENTIAL: Maria, I have a million-dollar opportunity. Reply urgently and keep this private.",1
Calendar invite accepted. See you at 14:00 in room 3B.,0
Reminder: team standup is at 10:00 AM Thursday.,0
Order ORD-1045 has shipped. Tracking number: TRK126225C. Estimated delivery Monday.,0
Lunch tomorrow? I can do 12:30.,0
Calendar invite accepted. See you at 14:00 in room 3B.,0
Your Stark Logistics receipt for Pro Plan has been processed. Amount: 489.42 USD. Thank you for your payment.,0
"Your Apple ID has been used from Russia. If this wasn't you, login at bit.ly/7hQ2",1
<html><body><b>Account Locked</b> — clіck here to <a href='https://account-check.net/reopen'>reopen</a> now.</body></html>,1
Order ORD-1044 has shipped. Tracking number: TRK246316H. Estimated delivery Wednesday.,0
Your email storage is full. Upgrade at tinyurl.com/aB3c to avoid losing messages.,1
Verifу your mailbox: paste your password at t.co/claim (note: the 'y' is special),1
"Meeting moved to 3pm. Agenda: roadmap, metrics, blockers.",0
Monthly bank statement is ready in the app. (No action required.),0
FYI: Jenkins build #123 passed on main. No changes required.,0
"Meeting moved to 3pm. Agenda: roadmap, metrics, blockers.",0
Final notice: Invoice ORD-1056 is past due. Settle at bit.ly/7hQ2 to avoid legal action.,1
Payment failed on your package. Reschedule delivery and pay fee at https://secure-login.com/pay,1
"Meeting moved to 3pm. Agenda: roadmap, metrics, blockers.",0
Final notice: Invoice ORD-1036 is past due. Settle at ow.ly/pay to avoid legal action.,1
Verifу your mailbox: paste your password at goo.gl/win (note: the 'y' is special),1
Calendar invite accepted. See you at 14:00 in room 3B.,0
Your support ticket CS-1797 has been updated. We’ll follow up by Tuesday.,0
"Dear Beneficiary, your inheritance is ready. Provide your full details to process funds.",1
Please find attached the meeting notes and spreadsheet from finance.,0
Printer invoice attached. Open and enable macros to view. Then pay here: tinyurl.com/aB3c,1
"CONFIDENTIAL: Amara, I have a million-dollar opportunity. Reply urgently and keep this private.",1
Lunch tomorrow? I can do 12:30.,0
Your subscription to Pro Plan renewed successfully. Amount: 160.07 USD.,0
Shipping update: your package is out for delivery today.,0
Thanks! I’ll be there in 5 minutes.,0
"Hi Ibrahim, here are the minutes from today’s call. Action items attached.",0
Hot singles in your area want to chat. Click t.co/claim now!,1
FYI: Jenkins build #123 passed on main. No changes required.,0
Boost your site to #1 on Google. Guaranteed SEO results. Book now: t.co/claim,1
Your subscription to Email Service renewed successfully. Amount: 243.35 BRL.,0
You won 163.03 EUR! Claim your prize at https://tinyurl.com/aB3c before it expires. No purchase required.,1
Hot singles in your area want to chat. Click ow.ly/pay now!,1
Get rich from home! Earn 100% weekly with zero effort. Start here: goo.gl/win,1
We found issues with your wallet. Restore access: https://secure-login.com/restore,1
You won 416.89 BRL! Claim your prize at https://goo.gl/win before it expires. No purchase required.,1
Crypto airdrop for early users! Connect your wallet: https://safety-verify.org/airdrop,1
Tax refund available—submit bank details now: tinyurl.com/aB3c,1
FYI: Jenkins build #123 passed on main. No changes required.,0
Reminder: team standup is at 10:00 AM Wednesday.,0
"Your Apple ID has been used from Russia. If this wasn't you, login at ow.ly/pay",1
Calendar invite accepted. See you at 14:00 in room 3B.,0
Security alert: unusual sign-in detected. Confirm your password at https://secure-login.com/secure-login.,1
"Meeting moved to 3pm. Agenda: roadmap, metrics, blockers.",0
<div>HR reminder: complete your benefits enrollment by Friday.</div>,0
Please review PR #520 when you have a moment. Notes inline.,0
We doubled our BTC offer! Invest 74.74 BRL and get 50% daily returns. Join now: ow.ly/pay,1
Heads up: VPN maintenance tonight 01:00–02:00. Expect brief downtime.,0
Order ORD-1164 has shipped. Tracking number: TRK246316H. Estimated delivery Monday.,0
"Dear Beneficiary, your inheritance is ready. Provide your full details to process funds.",1
Calendar invite accepted. See you at 14:00 in room 3B.,0
Please review PR #980 when you have a moment. Notes inline.,0
Lunch tomorrow? I can do 12:30.,0
Your support ticket CS-6246 has been updated. We’ll follow up by Monday.,0
Security alert: unusual sign-in detected. Confirm your password at https://secure-login.com/secure-login.,1
"Dear Beneficiary, your inheritance is ready. Provide your full details to process funds.",1
Security alert: unusual sign-in detected. Confirm your password at https://safety-verify.org/secure-login.,1
Payment failed on your package. Reschedule delivery and pay fee at https://update-payments.io/pay,1
Your email storage is full. Upgrade at goo.gl/win to avoid losing messages.,1
"Hi Lucas, here are the minutes from today’s call. Action items attached.",0
Welcome to the project! Starter docs are in the shared drive.,0
"Meeting moved to 3pm. Agenda: roadmap, metrics, blockers.",0
Please find attached the meeting notes and spreadsheet from finance.,0
We doubled our BTC offer! Invest 160.07 USD and get 50% daily returns. Join now: bit.ly/7hQ2,1
Lunch tomorrow? I can do 12:30.,0
Tax refund available—submit bank details now: goo.gl/win,1
Please find attached the meeting notes and spreadsheet from finance.,0
Hot singles in your area want to chat. Click t.co/claim now!,1
Shipping update: your package is out for delivery today.,0
"Your two-factor code is 638179. If you didn’t request this, ignore this message.",0
Your subscription to Cloud Storage renewed successfully. Amount: 283.40 USD.,0
Crypto airdrop for early users! Connect your wallet: https://secure-login.com/airdrop,1
"Your Apple ID has been used from Russia. If this wasn't you, login at bit.ly/7hQ2",1
"CONFIDENTIAL: Ibrahim, I have a million-dollar opportunity. Reply urgently and keep this private.",1
"Dear Beneficiary, your inheritance is ready. Provide your full details to process funds.",1
Your email storage is full. Upgrade at bit.ly/7hQ2 to avoid losing messages.,1
"Dear Beneficiary, your inheritance is ready. Provide your full details to process funds.",1
Hot singles in your area want to chat. Click goo.gl/win now!,1
Order ORD-1041 has shipped. Tracking number: TRK334053G. Estimated delivery Thursday.,0
<div>HR reminder: complete your benefits enrollment by Friday.</div>,0
Hot singles in your area want to chat. Click tinyurl.com/aB3c now!,1
Tax refund available—submit bank details now: goo.gl/win,1
Payment failed on your package. Reschedule delivery and pay fee at https://safety-verify.org/pay,1
Boost your site to #1 on Google. Guaranteed SEO results. Book now: is.gd/xyZ1,1
<html><body><b>Account Locked</b> — clіck here to <a href='https://safety-verify.org/reopen'>reopen</a> now.</body></html>,1
We found issues with your wallet. Restore access: https://account-check.net/restore,1
We doubled our BTC offer! Invest 124.83 USD and get 25% daily returns. Join now: tinyurl.com/aB3c,1
"Dear Beneficiary, your inheritance is ready. Provide your full details to process funds.",1
Please find attached the meeting notes and spreadsheet from finance.,0
Your support ticket CS-3439 has been updated. We’ll follow up by Tuesday.,0
Shipping update: your package is out for delivery today.,0
Order ORD-1083 has shipped. Tracking number: TRK877572D. Estimated delivery Monday.,0
<div>HR reminder: complete your benefits enrollment by Friday.</div>,0
Printer invoice attached. Open and enable macros to view. Then pay here: goo.gl/win,1
Your email storage is full. Upgrade at bit.ly/7hQ2 to avoid losing messages.,1
Tax refund available—submit bank details now: is.gd/xyZ1,1
Payment failed on your package. Reschedule delivery and pay fee at https://update-payments.io/pay,1
Boost your site to #1 on Google. Guaranteed SEO results. Book now: bit.ly/7hQ2,1
"Meeting moved to 3pm. Agenda: roadmap, metrics, blockers.",0
We doubled our BTC offer! Invest 53.58 USD and get 10% daily returns. Join now: goo.gl/win,1
"Your two-factor code is 479358. If you didn’t request this, ignore this message.",0
Tax refund available—submit bank details now: ow.ly/pay,1
Reminder: team standup is at 10:00 AM Wednesday.,0
FYI: Jenkins build #123 passed on main. No changes required.,0
